"S_No","LSOA Code","Postcode","Short Postcode","Town/City","District","County"
6289,NA,"ME12 3AS","ME12","SHEERNESS","SWALE","KENT"
6290,NA,"ME17 1WL","ME17","MAIDSTONE","MAIDSTONE","KENT"
6291,NA,"TN25 7FZ","TN25","ASHFORD","ASHFORD","KENT"
6292,NA,"ME19 5FL","ME19","WEST MALLING","TONBRIDGE AND MALLING","KENT"
6293,NA,"CT14 7QF","CT14","DEAL","DOVER","KENT"
6294,NA,"ME19 5GQ","ME19","WEST MALLING","TONBRIDGE AND MALLING","KENT"
6295,NA,"CT14 7NP","CT14","DEAL","DOVER","KENT"
6296,NA,"ME12 3AR","ME12","SHEERNESS","SWALE","KENT"
6297,NA,"GU24 0QE","GU24","WOKING","GUILDFORD","SURREY"
6298,NA,"KT20 7TQ","KT20","TADWORTH","REIGATE AND BANSTEAD","SURREY"
6299,NA,"TN12 9GA","TN12","TONBRIDGE","MAIDSTONE","KENT"
6300,NA,"GU10 2HW","GU10","FARNHAM","WAVERLEY","SURREY"
6301,NA,"KT23 4JQ","KT23","LEATHERHEAD","MOLE VALLEY","SURREY"
6302,NA,"KT12 4LP","KT12","WALTON-ON-THAMES","ELMBRIDGE","SURREY"
6303,NA,"RH19 2TS","RH19","EAST GRINSTEAD","TANDRIDGE","SURREY"
6304,NA,"GU16 6HA","GU16","CAMBERLEY","SURREY HEATH","SURREY"
6305,NA,"GU22 8BW","GU22","WOKING","WOKING","SURREY"
6306,NA,"KT23 3PT","KT23","LEATHERHEAD","MOLE VALLEY","SURREY"
6307,NA,"TN12 0QR","TN12","TONBRIDGE","MAIDSTONE","KENT"
6308,NA,"GU16 6GU","GU16","CAMBERLEY","SURREY HEATH","SURREY"
6309,NA,"GU22 9ER","GU22","WOKING","WOKING","SURREY"
6310,NA,"GU23 6BQ","GU23","WOKING","GUILDFORD","SURREY"
6311,NA,"GU23 6BS","GU23","WOKING","GUILDFORD","SURREY"
6312,NA,"TN25 6JX","TN25","ASHFORD","FOLKESTONE AND HYTHE","KENT"
6313,NA,"TN28 8NA","TN28","NEW ROMNEY","FOLKESTONE AND HYTHE","KENT"
6314,NA,"TN28 8NA","TN28","NEW ROMNEY","FOLKESTONE AND HYTHE","KENT"
6315,NA,"KT23 3JJ","KT23","LEATHERHEAD","MOLE VALLEY","SURREY"
6316,NA,"ME10 3RT","ME10","SITTINGBOURNE","SWALE","KENT"
6317,NA,"KT12 5EG","KT12","WALTON-ON-THAMES","ELMBRIDGE","SURREY"
6318,NA,"CT13 0FR","CT13","SANDWICH","DOVER","KENT"
6319,NA,"ME19 4SF","ME19","WEST MALLING","TONBRIDGE AND MALLING","KENT"
6320,NA,"GU21 2JF","GU21","WOKING","WOKING","SURREY"
6321,NA,"TN25 5BG","TN25","ASHFORD","ASHFORD","KENT"
6322,NA,"TN25 5BG","TN25","ASHFORD","ASHFORD","KENT"
6323,NA,"TN25 5BG","TN25","ASHFORD","ASHFORD","KENT"
6324,NA,"CT18 8BY","CT18","FOLKESTONE","FOLKESTONE AND HYTHE","KENT"
6325,NA,"ME18 5NU","ME18","MAIDSTONE","TONBRIDGE AND MALLING","KENT"
6326,NA,"TN12 6GP","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6327,NA,"ME12 4LN","ME12","SHEERNESS","SWALE","KENT"
6328,NA,"TN25 5DQ","TN25","ASHFORD","ASHFORD","KENT"
6329,NA,"TN4 0FL","TN4 0","TUNBRIDGE WELLS","TUNBRIDGE WELLS","KENT"
6330,NA,"ME1 3GL","ME1 3","ROCHESTER","TONBRIDGE AND MALLING","KENT"
6331,NA,"ME1 3YP","ME1 3","ROCHESTER","TONBRIDGE AND MALLING","KENT"
6332,NA,"TN12 7AH","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6333,NA,"TN12 7AH","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6334,NA,"ME1 3GL","ME1 3","ROCHESTER","TONBRIDGE AND MALLING","KENT"
6335,NA,"TN12 7AH","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6336,NA,"ME1 3GL","ME1 3","ROCHESTER","TONBRIDGE AND MALLING","KENT"
6337,NA,"TN12 7AH","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6338,NA,"TN14 5FJ","TN14","SEVENOAKS","SEVENOAKS","KENT"
6339,NA,"ME12 3TW","ME12","SHEERNESS","SWALE","KENT"
6340,NA,"CT16 3NA","CT16","DOVER","DOVER","KENT"
6341,NA,"GU12 5LR","GU12","ALDERSHOT","GUILDFORD","SURREY"
6342,NA,"GU16 7DX","GU16","CAMBERLEY","SURREY HEATH","SURREY"
6343,NA,"GU12 5QB","GU12","ALDERSHOT","GUILDFORD","SURREY"
6344,NA,"TN25 6JX","TN25","ASHFORD","FOLKESTONE AND HYTHE","KENT"
6345,NA,"ME20 6HQ","ME20","AYLESFORD","TONBRIDGE AND MALLING","KENT"
6346,NA,"KT20 7ST","KT20","TADWORTH","REIGATE AND BANSTEAD","SURREY"
6347,NA,"CT15 6AG","CT15","DOVER","DOVER","KENT"
6348,NA,"CT15 6AG","CT15","DOVER","DOVER","KENT"
6349,NA,"CT15 6AG","CT15","DOVER","DOVER","KENT"
6350,NA,"CT14 8EU","CT14","DEAL","DOVER","KENT"
6351,NA,"TN15 7AF","TN15","SEVENOAKS","TONBRIDGE AND MALLING","KENT"
6352,NA,"TN18 5DL","TN18","CRANBROOK","TUNBRIDGE WELLS","KENT"
6353,NA,"ME19 6TB","ME19","WEST MALLING","TONBRIDGE AND MALLING","KENT"
6354,NA,"TN18 4DH","TN18","CRANBROOK","TUNBRIDGE WELLS","KENT"
6355,NA,"ME18 6BZ","ME18","MAIDSTONE","MAIDSTONE","KENT"
6356,NA,"ME15 6BF","ME15","MAIDSTONE","MAIDSTONE","KENT"
6357,NA,"ME17 3AD","ME17","MAIDSTONE","MAIDSTONE","KENT"
6358,NA,"TN13 2UG","TN13","SEVENOAKS","SEVENOAKS","KENT"
6359,NA,"DA11 9LX","DA11","GRAVESEND","GRAVESHAM","KENT"
6360,NA,"TN12 7DG","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6361,NA,"TN12 0DL","TN12","TONBRIDGE","MAIDSTONE","KENT"
6362,NA,"TN25 6JD","TN25","ASHFORD","FOLKESTONE AND HYTHE","KENT"
6363,NA,"ME15 0LN","ME15","MAIDSTONE","MAIDSTONE","KENT"
6364,NA,"TN17 4LR","TN17","CRANBROOK","ASHFORD","KENT"
6365,NA,"ME17 4NH","ME17","MAIDSTONE","MAIDSTONE","KENT"
6366,NA,"CT14 8BJ","CT14","DEAL","DOVER","KENT"
6367,NA,"ME20 6GT","ME20","AYLESFORD","TONBRIDGE AND MALLING","KENT"
6368,NA,"TN25 4HU","TN25","ASHFORD","ASHFORD","KENT"
6369,NA,"TN12 6PA","TN12","TONBRIDGE","MAIDSTONE","KENT"
6370,NA,"TN15 0LW","TN15","SEVENOAKS","SEVENOAKS","KENT"
6371,NA,"ME13 9NZ","ME13","FAVERSHAM","SWALE","KENT"
6372,NA,"TN12 0JD","TN12","TONBRIDGE","MAIDSTONE","KENT"
6373,NA,"ME18 5BF","ME18","MAIDSTONE","MAIDSTONE","KENT"
6374,NA,"TN28 8RL","TN28","NEW ROMNEY","FOLKESTONE AND HYTHE","KENT"
6375,NA,"CR5 3LU","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
6376,NA,"TN14 6PJ","TN14","SEVENOAKS","SEVENOAKS","KENT"
6377,NA,"TN27 9DW","TN27","ASHFORD","ASHFORD","KENT"
6378,NA,"TN12 0HB","TN12","TONBRIDGE","MAIDSTONE","KENT"
6379,NA,"ME20 7HW","ME20","AYLESFORD","TONBRIDGE AND MALLING","KENT"
6380,NA,"TN25 6QE","TN25","ASHFORD","ASHFORD","KENT"
6381,NA,"TN12 8EL","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6382,NA,"ME15 8XW","ME15","MAIDSTONE","MAIDSTONE","KENT"
6383,NA,"TN14 7SD","TN14","SEVENOAKS","SEVENOAKS","KENT"
6384,NA,"DA12 3HN","DA12","GRAVESEND","GRAVESHAM","KENT"
6385,NA,"TN15 7PR","TN15","SEVENOAKS","TONBRIDGE AND MALLING","KENT"
6386,NA,"TN12 8JL","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6387,NA,"ME13 0NQ","ME13","FAVERSHAM","SWALE","KENT"
6388,NA,"TN18 5JE","TN18","CRANBROOK","TUNBRIDGE WELLS","KENT"
6389,NA,"TN26 1AL","TN26","ASHFORD","ASHFORD","KENT"
6390,NA,"TN28 8NT","TN28","NEW ROMNEY","FOLKESTONE AND HYTHE","KENT"
6391,NA,"TN12 8AE","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6392,NA,"ME14 4EA","ME14","MAIDSTONE","MAIDSTONE","KENT"
6393,NA,"CT20 3HY","CT20","FOLKESTONE","FOLKESTONE AND HYTHE","KENT"
6394,NA,"ME17 1TF","ME17","MAIDSTONE","MAIDSTONE","KENT"
6395,NA,"CT13 9PN","CT13","SANDWICH","DOVER","KENT"
6396,NA,"TN15 0BY","TN15","SEVENOAKS","SEVENOAKS","KENT"
6397,NA,"CT14 7JT","CT14","DEAL","DOVER","KENT"
6398,NA,"CT14 7JU","CT14","DEAL","DOVER","KENT"
6399,NA,"CT14 7JX","CT14","DEAL","DOVER","KENT"
6400,NA,"ME13 0SH","ME13","FAVERSHAM","SWALE","KENT"
6401,NA,"KT23 4RA","KT23","LEATHERHEAD","MOLE VALLEY","SURREY"
6402,NA,"KT20 7AG","KT20","TADWORTH","REIGATE AND BANSTEAD","SURREY"
